#{"t_start": 1754334945.4703574, "env_id": "None"}
r,l,t
65.046247,181,3.8555
-321.366202,387,5.67183
44.435462,287,7.10837
-28.445256,221,8.261373
11.172066,129,8.887648
52.794994,182,9.888707
116.012456,251,11.201436
-384.956704,527,14.088727
-1.170242,334,15.637888
-381.317395,453,17.787649
-634.364939,921,21.993689
-84.528437,275,23.404634
27.581971,328,25.029695
-16.110054,466,27.429066
48.72785,172,28.300868
156.783994,314,29.8622
28.138712,159,30.620389
-208.26189,464,33.012143
-612.32722,771,36.909248
27.673587,145,37.643024
-270.197519,592,40.922956
106.471138,256,42.529185
13.786416,235,43.85645
70.790008,490,46.400943
-46.287481,303,47.802752
-354.48261,603,50.639359
-28.025089,298,51.935356
121.508197,593,54.442423
254.439118,1015,58.810962
8.777944,377,60.370281
197.789724,363,61.882871
115.780057,244,63.005365
67.249737,191,63.782732
-124.494591,376,65.360488
48.515778,175,66.031442
17.149362,365,67.76661
118.064714,423,70.001868
41.025503,446,72.295299
-93.220197,433,74.589075
447.913862,942,79.392285
-31.933513,415,81.508515
-222.924362,452,84.025972
-224.436176,357,85.784901
11.390345,426,87.879749
52.370861,242,89.151006
68.152957,198,90.118999
4.300061,283,91.578693
-62.639471,406,93.700044
93.032685,229,94.886699
23.147461,476,97.270411
58.915527,467,99.937671
49.508844,182,101.034497
23.51501,148,101.901495
117.225726,311,103.76713
-7.411027,641,107.350749
140.860238,504,109.582818
-51.886385,272,110.835518
-37.357956,420,112.738726
-17.98375,323,114.222993
114.591253,251,115.262429
124.854924,300,116.471753
217.639245,427,118.284187
-0.364532,252,119.400479
106.758478,332,120.838163
130.434672,359,122.372215
75.071393,208,123.274055
151.674261,331,124.953425
53.090324,189,125.687947
80.84142,219,126.56372
84.973337,688,129.46898
99.83636,668,133.285602
117.747721,343,135.199684
161.586246,724,139.249952
135.246145,294,140.554115
34.415722,708,143.865935
169.994217,713,146.816423
118.264781,299,147.963748
40.164616,165,148.649529
42.63662,303,149.865737
243.968491,611,152.340294
144.822247,953,156.057961
45.737421,414,157.750522
68.113435,193,158.549434
95.14638,1519,166.003057
78.800232,200,167.054684
28.751911,1167,172.782147
87.399028,247,173.903844
5.119156,278,175.130501
96.308382,378,176.814193
21.636768,340,178.223223
182.353874,2053,186.363847
81.282693,223,187.219691
121.252669,275,188.30007
124.655194,1784,196.730134
171.295179,461,199.280459
117.38491,1834,207.397115
124.462356,316,208.680123
28.359902,150,209.268866
146.018314,1616,215.796517
7.352901,123,216.279441
223.653766,2484,227.464296
122.468015,372,229.519669
63.734865,453,231.930033
90.504342,439,233.878798
125.546037,270,235.283654
220.6503,1903,242.650049
50.870178,259,243.618864
130.178005,288,244.682246
12.573831,129,245.145881
52.364633,670,247.645197
211.179189,422,249.250809
284.014253,1096,254.02237
199.91787,391,256.122274
109.93247,251,257.345495
-1.50099,229,258.525424
16.615459,1372,264.711227
384.248583,3600,278.582686
218.980017,424,280.076948
183.256524,328,281.298491
439.514344,741,285.517057
101.367617,2683,297.338885
-72.143849,1178,301.793609
239.898153,2528,311.342776
13.879144,3600,328.170394
401.904797,2339,337.091158
-75.92589,354,338.684624
121.517899,705,341.796403
62.540632,996,346.374114
-27.871054,1154,351.45845
-82.386064,364,353.090972
-212.518547,1013,357.872753
-85.090873,295,359.196397
-29.759521,419,361.03483
142.556381,1922,369.555593
-47.112754,203,370.44105
251.556564,575,372.990804
12.558726,260,374.426743
352.745872,1727,382.273516
9.839071,255,383.48971
156.913954,3600,400.918864
272.906483,1984,409.153473
36.775667,471,410.953501
485.96629,866,414.324519
188.023131,325,415.553689
80.831791,384,416.923377
189.189058,1611,422.806146
165.647271,1254,429.057214
27.690382,898,433.119594
596.965069,3600,447.243952
99.303715,1918,454.984669
507.852366,3600,471.183943
263.470656,1979,478.70854
620.531297,2122,488.383496
251.579261,1234,494.078454
647.201721,1584,500.398903
610.493264,2374,508.815196
614.619861,1199,513.705356
58.948076,177,514.498282
220.529377,653,517.85235
443.507825,2107,526.881121
164.081173,1571,532.783015
207.426359,375,534.16875
662.372667,1659,540.350375
191.340057,1966,550.089605
974.304569,1814,557.479993
498.548889,3600,571.379379
188.533598,355,573.246915
161.029967,295,574.830544
99.742165,318,576.487238
75.291762,199,577.569466
430.321602,924,581.69547
517.000696,1412,587.373191
58.341628,365,588.774577
599.252196,2671,598.778222
855.692769,2188,609.332698
351.746999,3600,623.1947
326.455157,1973,631.344273
80.607244,240,632.849167
127.737665,261,634.014365
809.793648,3600,650.084298
202.296765,446,652.341002
97.476986,417,654.186088
314.42161,1715,661.632543
507.217804,3600,677.346663
89.136928,211,678.290537
51.925292,299,679.556422
99.774914,227,680.542923
377.64034,1282,686.277307
70.569146,197,687.296684
420.981782,1419,693.533218
184.731575,420,695.564411
113.570875,349,697.113498
476.904183,1048,701.701001
1003.539506,1958,710.425504
89.637192,1574,717.205328
327.944568,1500,723.950935
27.839348,269,725.181087
79.092089,323,726.611784
120.61433,357,728.153997
710.506067,2098,737.13074
149.245683,312,738.511881
706.902283,2072,747.788573
967.508144,3600,763.685416
1209.185566,3600,779.636213
276.430578,708,782.687853
281.904298,689,785.630805
367.3649,1195,790.859312
96.285866,2374,801.535169
496.869239,893,805.365755
104.58103,349,806.879475
865.199693,3600,823.027173
205.434035,1381,829.967397
1306.178023,3600,845.699146
887.675702,3600,861.580694
168.01136,327,863.063881
1178.569737,3600,878.82873
129.275466,390,880.477966
148.719449,682,883.450459
22.346797,145,884.058143
8.724587,125,884.631614
676.775139,3600,900.435911
592.541275,3600,916.093977
198.459762,560,918.507748
1179.559367,3600,934.319563
372.495333,1096,939.065585
379.619544,663,942.129388
553.122172,3375,956.725431
191.042093,348,958.460468
232.204271,805,961.97577
354.911224,1022,966.491004
345.299244,1925,974.893047
563.382066,3600,990.703887
1027.520582,3600,1006.439888
-0.484964,116,1006.981071
36.224989,184,1007.808102
81.049911,207,1008.720212
148.925002,295,1010.022606
259.572879,1019,1014.618626
507.3452,1147,1019.594072
546.314681,3600,1035.631488
244.329439,449,1037.54885
58.420119,189,1038.345455
136.179204,297,1039.620156
859.911411,3600,1055.259234
199.754067,1615,1062.269396
699.711925,3600,1078.190473
996.137554,1936,1086.596271
155.549407,488,1088.711966
233.999877,841,1092.553802
492.748247,1209,1097.757034
785.453917,3600,1113.619879
238.731138,426,1115.472558
24.513687,137,1116.030588
31.529917,151,1116.733852
264.24815,1146,1121.974551
101.147194,736,1125.168603
417.85995,1202,1130.38148
897.471659,3600,1146.124798
78.558863,204,1147.027886
761.456609,3600,1162.849298
506.664964,1285,1168.456144
203.284582,477,1170.501017
658.057044,1608,1177.794078
927.920994,3600,1193.654494
25.57299,1802,1201.57428
864.320134,3600,1217.465658
682.011911,1176,1222.582685
812.011202,2462,1233.531148
503.902306,1714,1240.942486
27.977572,232,1241.908982
939.2979,2833,1254.357861
657.678508,1814,1262.254094
91.809953,221,1263.225762
631.027222,3055,1276.706728
133.190124,273,1277.952997
25.030781,143,1278.579424
575.103507,2474,1289.512774
26.075812,143,1290.145823
171.77642,390,1291.910903
128.432599,1516,1298.405758
254.519459,407,1300.463527
1178.538773,3600,1316.118329
401.836949,2120,1325.439402
509.415374,877,1329.274252
332.063247,1045,1333.873215
358.211714,3600,1349.502588
174.098166,484,1351.556185
134.166401,274,1352.750974
136.317399,1859,1361.09628
452.140288,1472,1367.538857
185.822611,673,1370.380546
35.373136,274,1371.593074
114.038763,247,1372.846144
534.835975,3137,1386.49134
1641.693875,3600,1402.546468
1330.526569,3600,1418.700307
1519.632925,3600,1434.661896
803.476873,2751,1447.169054
704.929343,3600,1462.91382
641.489293,1092,1467.850303
567.843931,3395,1483.095072
285.704838,524,1485.324086
358.641132,1606,1492.291564
913.076175,3600,1508.380357
114.166051,249,1509.504028
268.376728,1929,1518.269946
615.117618,1252,1523.724946
250.418212,594,1526.402442
1085.896368,2606,1538.02053
660.482185,3063,1551.448936
339.497438,1463,1558.174427
234.076873,886,1562.083056
1072.275735,3600,1578.124165
851.583181,2442,1588.865565
422.165398,835,1592.611978
367.021329,614,1595.313642
604.259518,3600,1611.308531
40.025567,168,1612.044529
195.191679,409,1613.835544
343.881501,1013,1618.28711
1209.825704,2573,1629.791671
166.675059,574,1632.296168
1045.275242,3600,1648.34963
559.868138,1515,1654.944564
234.662134,499,1657.174557
475.310287,775,1660.608476
403.69761,1605,1667.830848
