2025-08-06 10:43:48,027 | INFO | [Model] Loading PPO on device=cuda
2025-08-06 10:43:49,263 | INFO | [ObsNorm] Loaded stats: clip_obs=10.0, mean.shape=(1, 18), var.shape=(1, 18)
2025-08-06 10:43:49,263 | INFO | [Startup] Predictor ready.
2025-08-06 10:44:00,329 | INFO | [Predict] a_model=ACCELERATE -> a_final=DECELERATE | ttc_fwd=0.66s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,348 | INFO | [Predict] a_model=ACCELERATE -> a_final=DECELERATE | ttc_fwd=0.67s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,366 | INFO | [Predict] a_model=ACCELERATE -> a_final=DECELERATE | ttc_fwd=0.69s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,386 | INFO | [Predict] a_model=STEER_RIGHT -> a_final=STEER_RIGHT | ttc_fwd=0.70s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,413 | INFO | [Predict] a_model=STEER_RIGHT -> a_final=STEER_RIGHT | ttc_fwd=0.70s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,431 | INFO | [Predict] a_model=ACCELERATE -> a_final=DECELERATE | ttc_fwd=0.70s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,450 | INFO | [Predict] a_model=DECELERATE -> a_final=DECELERATE | ttc_fwd=0.72s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,468 | INFO | [Predict] a_model=DECELERATE -> a_final=DECELERATE | ttc_fwd=0.73s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,487 | INFO | [Predict] a_model=DECELERATE -> a_final=DECELERATE | ttc_fwd=0.75s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,505 | INFO | [Predict] a_model=ACCELERATE -> a_final=DECELERATE | ttc_fwd=0.77s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,523 | INFO | [Predict] a_model=ACCELERATE -> a_final=DECELERATE | ttc_fwd=0.79s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,541 | INFO | [Predict] a_model=DECELERATE -> a_final=DECELERATE | ttc_fwd=0.80s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,559 | INFO | [Predict] a_model=DECELERATE -> a_final=DECELERATE | ttc_fwd=0.82s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,577 | INFO | [Predict] a_model=DECELERATE -> a_final=DECELERATE | ttc_fwd=0.85s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,595 | INFO | [Predict] a_model=DECELERATE -> a_final=DECELERATE | ttc_fwd=0.87s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,615 | INFO | [Predict] a_model=DECELERATE -> a_final=DECELERATE | ttc_fwd=0.89s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,643 | INFO | [Predict] a_model=DECELERATE -> a_final=DECELERATE | ttc_fwd=0.92s, fwd_min=0.40, back_min=0.25, buf=2
2025-08-06 10:44:00,663 | INFO | [Predict] a_model=DECELERATE -> a_final=DECELERATE | ttc_fwd=0.94s, fwd_min=0.40, back_min=0.25, buf=2
